tSNE_1	tSNE_2	use.colors	cells
PBS_Cells_664	-17.1148473747162	2.89970444426554	#ff0000	NN_0
PBS_Cells_672	-11.7042465786094	2.59983992012751	#ff0000	NN_0
PBS_Cells_690	-20.8268892803771	-1.04101964139743	#ff0000	NN_0
PBS_Cells_701	-3.73266949535455	-28.0983529637414	#ff0000	NN_0
PBS_Cells_708	-21.8272567880218	6.57502748875426	#ff0000	NN_0
PBS_Cells_714	-17.7600796227612	8.38633745270242	#ff0000	NN_0
PBS_Cells_724	-10.7035473047476	2.72399707947883	#ff0000	NN_0
PBS_Cells_735	-26.3514057168201	0.908247204360575	#ff0000	NN_0
PBS_Cells_757	-10.3981541265668	3.16518360769057	#ff0000	NN_0
PBS_Cells_769	-16.6186125270595	3.04748369517335	#ff0000	NN_0
PBS_Cells_772	-18.3998406834855	-4.83267105213979	#ff0000	NN_0
PBS_Cells_806	-12.0171102821873	0.860270717132402	#ff0000	NN_0
PBS_Cells_809	-18.0078347998289	6.75705886527884	#ff0000	NN_0
PBS_Cells_830	-19.6704975432145	5.86991357182587	#ff0000	NN_0
PBS_Cells_873	-18.5685169528481	-1.39189046420108	#ff0000	NN_0
PBS_Cells_874	-18.5897603923206	-4.20011265327411	#ff0000	NN_0
IL4_Cells_5	-6.879420078368	-11.7754108429323	#ff0000	NN_0
IL4_Cells_50	-15.0036103439266	-4.4733715566926	#ff0000	NN_0
IL4_Cells_75	-6.38784707964029	-11.9675614197983	#ff0000	NN_0
IL4_Cells_82	-13.2972879888572	-3.45691838796765	#ff0000	NN_0
IL4_Cells_87	-13.0638054684157	-4.17703737397163	#ff0000	NN_0
IL4_Cells_103	-22.0938442656559	4.22055357793505	#ff0000	NN_0
IL4_Cells_135	-15.9115306439731	1.35442015276125	#ff0000	NN_0
IL4_Cells_154	-22.2985384983138	5.99752083888963	#ff0000	NN_0
IL4_Cells_157	-14.2739909626394	0.0320353878435891	#ff0000	NN_0
IL4_Cells_221	-17.4468945870757	0.724664597387195	#ff0000	NN_0
IL4_Cells_251	-15.7785236321798	-4.0331175122657	#ff0000	NN_0
IL4_Cells_271	-14.9979006791921	-4.56198362342744	#ff0000	NN_0
IL4_Cells_294	-10.3091277667805	-19.0983795276299	#ff0000	NN_0
IL4_Cells_303	-14.4517048386594	0.733893998404513	#ff0000	NN_0
IL4_Cells_329	-16.5434323361994	0.780304210846456	#ff0000	NN_0
IL4_Cells_331	-19.3819245485411	-6.48712985703406	#ff0000	NN_0
IL4_Cells_333	-4.86958182571309	-16.4982511333114	#ff0000	NN_0
IL4_Cells_358	-16.9330953314554	-3.84573359780244	#ff0000	NN_0
IL4_Cells_369	-20.2376477081539	0.377429069813202	#ff0000	NN_0
IL4_Cells_372	-26.4301676950842	-6.09377240326517	#ff0000	NN_0
IL4_Cells_373	-17.2213571161595	3.74224213840609	#ff0000	NN_0
IL4_Cells_416	-12.5701823587687	-3.7412289844696	#ff0000	NN_0
IL4_Cells_446	-9.97271432792786	-19.1292500727109	#ff0000	NN_0
IL4_Cells_448	-14.2551580133009	-4.63894679301183	#ff0000	NN_0
IL4_Cells_450	-15.9009266914312	0.481363015890738	#ff0000	NN_0
IL4_Cells_484	-17.1247583849494	-5.47128825213855	#ff0000	NN_0
IL4_Cells_486	-13.0996281872202	-3.48191557100011	#ff0000	NN_0
IL4_Cells_501	-15.6303203011465	-3.98072333858834	#ff0000	NN_0
IL4_Cells_504	-0.865381765752734	-18.4029448880107	#ff0000	NN_0
IL4_Cells_515	-16.0650464550832	24.3436628891001	#ff0000	NN_0
IL4_Cells_522	-13.3189107833147	2.14741030590428	#ff0000	NN_0
IL4_Cells_542	-14.9637521183771	0.889920827526329	#ff0000	NN_0
IL4_Cells_578	-15.3552480004878	3.20946398039545	#ff0000	NN_0
IL4_Cells_659	-19.0796161764065	-6.50642368803248	#ff0000	NN_0
IL4_Cells_660	-19.9202612415098	0.180389531977081	#ff0000	NN_0
AB42_Cells_1	-18.6398575484075	6.58788496177146	#ff0000	NN_0
AB42_Cells_4	-16.9293374307677	6.53883870157938	#ff0000	NN_0
AB42_Cells_5	-28.3267111018259	2.28249674061222	#ff0000	NN_0
AB42_Cells_13	-14.2036572031186	2.75719242553148	#ff0000	NN_0
AB42_Cells_31	-19.8253927017873	-2.64791341588707	#ff0000	NN_0
AB42_Cells_36	-26.5665003960675	1.60469244172517	#ff0000	NN_0
AB42_Cells_41	-21.6079186319418	-4.91736215466945	#ff0000	NN_0
AB42_Cells_49	-22.2131256764596	8.3885521973058	#ff0000	NN_0
AB42_Cells_51	-23.6065787293019	2.82272899615579	#ff0000	NN_0
AB42_Cells_53	-24.6141496728469	8.19415613994347	#ff0000	NN_0
AB42_Cells_56	-11.3938731628726	1.7535435025981	#ff0000	NN_0
AB42_Cells_120	-22.1545910693604	-4.94838913867101	#ff0000	NN_0
AB42_Cells_124	-17.1134098633325	-2.08688371665781	#ff0000	NN_0
AB42_Cells_126	-27.1456754712588	4.94215081894863	#ff0000	NN_0
AB42_Cells_127	-30.6367465448325	3.28420880818376	#ff0000	NN_0
AB42_Cells_129	-26.5156665863513	7.08869250924764	#ff0000	NN_0
