tSNE_1	tSNE_2	use.colors	cells
PBS_Cells_860	-3.02364364875175	4.29754529809698	#98f5ff	PC_0
PBS_Cells_876	-11.845967100613	-4.16629037098678	#98f5ff	PC_0
PBS_Cells_887	-5.96162693608931	9.2112437599406	#98f5ff	PC_0
IL4_Cells_22	1.29664741664288	8.87666168203918	#98f5ff	PC_0
IL4_Cells_24	-5.65588273517957	7.75180672459018	#98f5ff	PC_0
IL4_Cells_42	6.55045079453325	16.1120202102984	#98f5ff	PC_0
IL4_Cells_52	-1.34865765690021	4.29867346142606	#98f5ff	PC_0
IL4_Cells_59	-10.7865420578802	3.47493941090492	#98f5ff	PC_0
IL4_Cells_61	-3.97317822229442	-4.0783404858819	#98f5ff	PC_0
IL4_Cells_89	1.22222659668677	1.85351198098675	#98f5ff	PC_0
IL4_Cells_98	-4.30475823312358	8.23689693129878	#98f5ff	PC_0
IL4_Cells_101	0.93746114546353	2.02090292750092	#98f5ff	PC_0
IL4_Cells_122	-2.49666741791111	-10.5940272299801	#98f5ff	PC_0
IL4_Cells_124	-5.30172003231457	4.20544067972572	#98f5ff	PC_0
IL4_Cells_129	-1.92902654754784	10.2665621688384	#98f5ff	PC_0
IL4_Cells_130	-6.28399249240194	-5.88863811339756	#98f5ff	PC_0
IL4_Cells_185	-9.74802346305126	1.60284327647476	#98f5ff	PC_0
IL4_Cells_187	-10.0481785693175	1.97599349637761	#98f5ff	PC_0
IL4_Cells_192	-1.90273853957734	-9.21774527850954	#98f5ff	PC_0
IL4_Cells_207	-0.46687554442201	-4.10318189899515	#98f5ff	PC_0
IL4_Cells_225	-0.690829082346317	1.77224494232269	#98f5ff	PC_0
IL4_Cells_279	-2.27812434908148	-10.2421642383012	#98f5ff	PC_0
IL4_Cells_280	-0.714052532590599	-4.13012570770409	#98f5ff	PC_0
IL4_Cells_300	-4.04864281687064	-4.01752582551557	#98f5ff	PC_0
IL4_Cells_307	-7.99452917033681	-0.644617308585612	#98f5ff	PC_0
IL4_Cells_344	-3.40154543944875	-4.60864561446694	#98f5ff	PC_0
IL4_Cells_368	0.245326406879992	2.29389570762115	#98f5ff	PC_0
IL4_Cells_390	-0.951149499520899	-3.54874782228203	#98f5ff	PC_0
IL4_Cells_409	-4.03185388691599	-1.67533332946872	#98f5ff	PC_0
IL4_Cells_424	-5.55500182300445	7.15338513531687	#98f5ff	PC_0
IL4_Cells_447	2.7373262204135	2.4128832041	#98f5ff	PC_0
IL4_Cells_455	0.444746823433975	2.17077204487976	#98f5ff	PC_0
IL4_Cells_464	-3.94057211733166	5.18774509155295	#98f5ff	PC_0
